,name,repeats,classic_lstm,peephole_lstm,custom_lstm
33,repeating_n50_with_noise,3,0.04443834349513054,0.055118486285209656,0.03499259799718857
34,repeating_n50_with_noise,4,0.04762690141797066,0.05137091502547264,0.03522849455475807
35,repeating_n50_with_noise,5,0.0426836721599102,0.05388215556740761,0.02978038601577282
36,repeating_n50_with_noise,6,0.032922469079494476,0.06518176943063736,0.03257345035672188
37,repeating_n50_with_noise,7,0.042506713420152664,0.05380843207240105,0.03762827068567276
38,repeating_n50_with_noise,8,0.03746446967124939,0.05524490028619766,0.031194280833005905
39,repeating_n50_with_noise,9,0.04828192666172981,0.06753528118133545,0.03656798228621483
40,repeating_n10_with_noise,0,0.10415103286504745,0.1127215176820755,0.10104189068078995
41,repeating_n10_with_noise,1,0.10606206953525543,0.10918089747428894,0.10264819860458374
42,repeating_n10_with_noise,2,0.10306611657142639,0.11623334884643555,0.09943712502717972
43,repeating_n10_with_noise,3,0.10465198755264282,0.11633231490850449,0.10561611503362656
44,repeating_n10_with_noise,4,0.10056870430707932,0.11131218820810318,0.10180830210447311
45,repeating_n10_with_noise,5,0.10585097223520279,0.11528533697128296,0.10329257696866989
46,repeating_n10_with_noise,6,0.10824380815029144,0.11197815090417862,0.10045069456100464
47,repeating_n10_with_noise,7,0.10689370334148407,0.1154259741306305,0.0983232706785202
48,repeating_n10_with_noise,8,0.10688213258981705,0.11569792777299881,0.10236430168151855
49,repeating_n10_with_noise,9,0.10461479425430298,0.1144997701048851,0.10176185518503189
50,probabilistic_discret_20_2,0,0.10008828341960907,0.1402187943458557,0.08163417130708694
51,probabilistic_discret_20_2,1,0.10504629462957382,0.14442940056324005,0.08584002405405045
52,probabilistic_discret_20_2,2,0.10403476655483246,0.14232006669044495,0.08162615448236465
53,probabilistic_discret_20_2,3,0.14622536301612854,0.0880746841430664,0.08468308299779892
54,probabilistic_discret_20_2,4,0.09141013771295547,0.13625940680503845,0.0870734378695488
55,probabilistic_discret_20_2,5,0.09978805482387543,0.16623477637767792,0.08194488286972046
56,probabilistic_discret_20_2,6,0.10211170464754105,0.14367814362049103,0.08577475696802139
57,probabilistic_discret_20_2,7,0.10418485850095749,0.13130199909210205,0.08493130654096603
58,probabilistic_discret_20_2,8,0.10206764191389084,0.14406774938106537,0.08570446819067001
59,probabilistic_discret_20_2,9,0.10601041465997696,0.14464962482452393,0.0819932296872139
60,probabilistic_discret_6_3,0,0.04827961325645447,0.052271436899900436,0.047265466302633286
61,probabilistic_discret_6_3,1,0.04807714372873306,0.04859716817736626,0.05013854429125786
62,probabilistic_discret_6_3,2,0.04803549870848656,0.05298374965786934,0.04894624650478363
63,probabilistic_discret_6_3,3,0.05617045983672142,0.054324813187122345,0.04798674210906029
64,probabilistic_discret_6_3,4,0.049045514315366745,0.05412501469254494,0.04881174862384796
65,probabilistic_discret_6_3,5,0.04781600832939148,0.05161459371447563,0.048573676496744156
66,probabilistic_discret_6_3,6,0.04814893379807472,0.053208742290735245,0.047772932797670364
67,probabilistic_discret_6_3,7,0.04778493568301201,0.0539056695997715,0.049982041120529175
68,probabilistic_discret_6_3,8,0.04805821552872658,0.05512533709406853,0.04892931133508682
69,probabilistic_discret_6_3,9,0.04809185490012169,0.05076427012681961,0.048671845346689224
70,probabilistic_discret_10_4,0,0.16889110207557678,0.15861359238624573,0.13050894439220428
71,probabilistic_discret_10_4,1,0.1570846438407898,0.15885606408119202,0.1276881843805313
72,probabilistic_discret_10_4,2,0.17870719730854034,0.15959569811820984,0.12833717465400696
73,probabilistic_discret_10_4,3,0.1697666049003601,0.12154530733823776,0.13450738787651062
74,probabilistic_discret_10_4,4,0.16267068684101105,0.1706654131412506,0.13241466879844666
75,probabilistic_discret_10_4,5,0.17682340741157532,0.1687336415052414,0.12783199548721313
76,probabilistic_discret_10_4,6,0.1626254916191101,0.1326894611120224,0.13357385993003845
77,probabilistic_discret_10_4,7,0.159603551030159,0.12690365314483643,0.13181258738040924
78,probabilistic_discret_10_4,8,0.16253319382667542,0.13042864203453064,0.12686949968338013
79,probabilistic_discret_10_4,9,0.14789624512195587,0.17120850086212158,0.13027383387088776
80,probabilistic_discret_15_2_noise,0,0.01172109879553318,0.012698862701654434,0.010887915268540382
81,probabilistic_discret_15_2_noise,1,0.011922329664230347,0.03062785416841507,0.01158214546740055
82,probabilistic_discret_15_2_noise,2,0.011567852459847927,0.01138546597212553,0.01068967580795288
83,probabilistic_discret_15_2_noise,3,0.011834429576992989,0.010966503992676735,0.011458274908363819
84,probabilistic_discret_15_2_noise,4,0.011539832688868046,0.010665434412658215,0.011504138819873333
85,probabilistic_discret_15_2_noise,5,0.011748331598937511,0.012420497834682465,0.012191405519843102
86,probabilistic_discret_15_2_noise,6,0.011596143245697021,0.01148002129048109,0.010639873333275318
87,probabilistic_discret_15_2_noise,7,0.011631789617240429,0.05682183429598808,0.01119998563081026
88,probabilistic_discret_15_2_noise,8,0.011850054375827312,0.011594054289162159,0.010756058618426323
89,probabilistic_discret_15_2_noise,9,0.011847002431750298,0.011496257968246937,0.011761042289435863
90,linear,0,0.01098401565104723,0.004840979352593422,0.002771522384136915
91,linear,1,0.00758720887824893,0.003834618953987956,0.02079063467681408
92,linear,2,0.010500257834792137,0.002183623379096389,0.0025830238591879606
93,linear,3,0.001821138896048069,0.02691977471113205,0.0008601719164289534
94,linear,4,0.01750790886580944,0.0052986228838562965,0.001443571993149817
95,linear,5,0.007820656523108482,0.0018687951378524303,0.00870663020759821
96,linear,6,0.0006330210017040372,0.001805827021598816,0.0017510425532236695
97,linear,7,0.002071093302220106,0.001492410316132009,0.005758756306022406
98,linear,8,0.002281847642734647,0.007270561996847391,0.0033847540616989136
99,linear,9,0.014328990131616592,0.019368713721632957,0.00129446922801435
100,rev_linear,0,0.004471127409487963,0.018418697640299797,0.0252244733273983
101,rev_linear,1,0.02426813170313835,0.05073470249772072,0.0041413623839616776
102,rev_linear,2,0.05791885778307915,0.046322789043188095,0.002439886564388871
103,rev_linear,3,0.024736952036619186,0.003431841731071472,0.0037024093326181173
104,rev_linear,4,0.0025173581670969725,0.04321404919028282,0.0021468643099069595
105,rev_linear,5,0.02570670284330845,0.012024781666696072,0.011202864348888397
106,rev_linear,6,0.003617892973124981,0.03995057940483093,0.009534573182463646
107,rev_linear,7,0.00029269614606164396,0.020350132137537003,0.00381397339515388
108,rev_linear,8,0.007376604247838259,0.0361248254776001,0.010470944456756115
109,rev_linear,9,0.04571028798818588,0.02673022262752056,0.0005396523629315197
110,linear_with_noise0_001,0,0.013233632780611515,0.0026475549675524235,0.0028833651449531317
111,linear_with_noise0_001,1,0.010098626837134361,0.0018944037146866322,0.0046366071328520775
112,linear_with_noise0_001,2,0.007933256216347218,0.0010091192089021206,0.002228421624749899
113,linear_with_noise0_001,3,0.0032373059075325727,0.002647469751536846,0.00029137133969925344
114,linear_with_noise0_001,4,0.037081774324178696,0.0029017580673098564,0.0039218515157699585
115,linear_with_noise0_001,5,0.004212456755340099,0.0006198000628501177,0.004094102885574102
116,linear_with_noise0_001,6,0.0012893307721242309,0.006264680065214634,0.003002527868375182
117,linear_with_noise0_001,7,0.001770454691722989,0.014338381588459015,0.0021470016799867153
118,linear_with_noise0_001,8,0.015195207670331001,0.0011871224269270897,0.0006859385757707059
119,linear_with_noise0_001,9,0.006995460018515587,0.0012179529294371605,0.0010910708224400878
120,linear_with_noise0_01,0,0.0033748650457710028,0.012592599727213383,0.0027529418002814054
121,linear_with_noise0_01,1,0.006095562130212784,0.0027646292001008987,0.003749168012291193
122,linear_with_noise0_01,2,0.003269808366894722,0.003410052740946412,0.005722057074308395
123,linear_with_noise0_01,3,0.010592034086585045,0.0029154412914067507,0.004557015839964151
124,linear_with_noise0_01,4,0.03721429780125618,0.0027708010748028755,0.003397946944460273
125,linear_with_noise0_01,5,0.0030605311039835215,0.002783489879220724,0.005100293084979057
126,linear_with_noise0_01,6,0.04407840594649315,0.0029938931111246347,0.011631863191723824
127,linear_with_noise0_01,7,0.004360733553767204,0.0031571327708661556,0.0028075664304196835
128,linear_with_noise0_01,8,0.010968568734824657,0.01934458129107952,0.0027773266192525625
129,linear_with_noise0_01,9,0.003862408921122551,0.002806377364322543,0.0046396199613809586
130,linear_with_noise0_1,0,0.025961322709918022,0.028230473399162292,0.02718157321214676
131,linear_with_noise0_1,1,0.027920132502913475,0.03400956466794014,0.02550940029323101
