,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
593,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,594,60,0.043017491698265076,0.1170840635895729,0.040139082819223404,0.04403252899646759,0.031680889427661896,0.037633586674928665,0.03942951560020447,0.028421461582183838,0.034040939062833786,0.04218648746609688,0.03482338786125183,0.054131969809532166,0.02826748788356781,3.003840181757253
594,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,595,60,0.020443547517061234,0.01621619239449501,0.022257080301642418,0.019239239394664764,0.015686437487602234,0.015407897531986237,0.020192217081785202,0.014785490930080414,0.015647659078240395,0.020187020301818848,0.0160280242562294,0.026565153151750565,0.014684201218187809,2.749619185809943
595,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,596,60,0.022959204390645027,0.01833179034292698,0.022606365382671356,0.020831309258937836,0.032114312052726746,0.017704375088214874,0.017047982662916183,0.01659691147506237,0.017301522195339203,0.019098922610282898,0.04105064272880554,0.017406174913048744,0.01614334061741829,2.9762111151323145
596,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,597,60,0.04925912246108055,0.041911255568265915,0.06325188279151917,0.04551652446389198,0.049450378865003586,0.03896767273545265,0.04698934406042099,0.03537306934595108,0.040884628891944885,0.04785378277301788,0.039459265768527985,0.060912810266017914,0.03524768352508545,2.8703147949476677
597,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,598,60,0.014128897339105606,0.01355261355638504,0.017758166417479515,0.012582523748278618,0.012296248227357864,0.01250050775706768,0.015137655660510063,0.013774771243333817,0.012535911053419113,0.0150900362059474,0.013487761840224266,0.025629011914134026,0.011563287116587162,2.9489480607511123
598,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,599,60,0.05048665404319763,0.039740175008773804,0.04917649179697037,0.04774291068315506,0.04423769935965538,0.037300437688827515,0.03625354543328285,0.03339672461152077,0.047104693949222565,0.042138922959566116,0.07581648230552673,0.0775531455874443,0.032873354852199554,2.9099836137851605
599,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,600,60,0.019891779869794846,0.018218446522951126,0.01782848685979843,0.012741205282509327,0.010955577716231346,0.011493975296616554,0.013522202149033546,0.010449864901602268,0.011376014910638332,0.01421467587351799,0.012720785103738308,0.013792273588478565,0.010173916816711426,2.679617981128007
600,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,601,61,0.02514316886663437,0.021288655698299408,0.03124772571027279,0.028266189619898796,0.021567096933722496,0.021057266741991043,0.02283758483827114,0.019157445058226585,0.02039387635886669,0.02164134941995144,0.06424390524625778,0.02666730247437954,0.018753312528133392,2.92631773075799
601,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,602,61,0.12611044943332672,0.009886221960186958,0.017320718616247177,0.016772177070379257,0.009924672544002533,0.01056139450520277,0.020588360726833344,0.008126337081193924,0.009608774445950985,0.016668176278471947,0.010415826924145222,0.028935644775629044,0.008020306006073952,2.948269771568759
602,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,603,61,0.015582222491502762,0.02009318396449089,0.023710308596491814,0.015191261656582355,0.016274811699986458,0.013045250438153744,0.017695782706141472,0.011937323026359081,0.012680834159255028,0.019359765574336052,0.0181787870824337,0.11257511377334595,0.011602130718529224,2.8303988281585712
