,type,seed,difficulty,open_lstm_m,input_lstm_m,last_value_loss,entropy
215,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,216,22,0.02443080209195614,0.013616032898426056,0.004930876661092043,2.6365866464492522
216,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,217,22,0.028301501646637917,0.021557575091719627,0.004534716717898846,2.015798786273378
217,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,218,22,0.003189179114997387,0.003844074672088027,0.0022569231223315,2.653911700980977
218,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,219,22,0.007951578125357628,0.007267802953720093,0.0014174842508509755,2.0456579688808403
219,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,220,22,0.05510752648115158,0.0586729533970356,0.0019913355354219675,2.245730510744797
220,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,221,23,0.012466739863157272,0.014834357425570488,0.006290001794695854,2.551158373135154
221,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,222,23,0.005141593981534243,0.008262812159955502,0.004677772521972656,2.5721216932526465
222,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,223,23,0.04595686495304108,0.0025394440162926912,0.0015028989873826504,2.1808038236774574
223,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,224,23,0.0029620295390486717,0.00389107340015471,0.0013304310850799084,2.0468940566470697
224,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,225,23,0.002373960567638278,0.004395294934511185,0.0014717972371727228,2.2738226741255994
225,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,226,23,0.0029976260848343372,0.003133442485705018,0.0009062933968380094,2.0015600381392864
226,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,227,23,0.021488089114427567,0.004734923131763935,0.0022269547916948795,1.9653432971911227
227,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,228,23,0.0014659753069281578,0.002538456814363599,0.0010792538523674011,2.064394792973127
228,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,229,23,0.0015635770978406072,0.002511546714231372,0.0010851562255993485,1.8471050123884656
229,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,230,23,0.02143576182425022,0.06577830016613007,0.0015772039769217372,1.9512487903765963
230,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,231,24,0.004609750583767891,0.005248695611953735,0.0024380022659897804,2.3053455710415856
231,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,232,24,0.007091751787811518,0.01741744577884674,0.0034346089232712984,2.104189249901131
232,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,233,24,0.04619760438799858,0.0680059939622879,0.0019747233018279076,2.0225870988892747
233,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,234,24,0.015025828033685684,0.014967773109674454,0.002191985957324505,2.5021143784755786
234,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,235,24,0.004872387740761042,0.005349038168787956,0.0030115959234535694,2.187708304631644
235,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,236,24,0.0038006913382560015,0.001528098015114665,0.0019594437908381224,2.1890522188377313
236,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,237,24,0.0004726737679447979,0.0005127173499204218,0.0003412902296986431,1.6618519222802544
237,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,238,24,0.010344292037189007,0.009000252932310104,0.0013467910466715693,2.027783484757201
238,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,239,24,0.0038964205887168646,0.0033030651975423098,0.0033060472924262285,2.491023133262051
239,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,240,24,0.008005696348845959,0.011053016409277916,0.002566475886851549,2.343327512241997
