,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
12,size_1000_seed_13_config_piecewise_linear_num_seg_2_lookback_10,13,2,0.002957085380330682,0.00810302048921585,0.0016322922892868519,0.004538306500762701,0.0008797406917437911,1.0924299558014994e-05,0.0017812359932911459,2.1814516966220348
13,size_1000_seed_14_config_piecewise_linear_num_seg_2_lookback_10,14,2,0.00038066625711508095,0.03478147089481354,0.012995939701795578,0.006842163857072592,0.0011668610386550426,1.7801920557669605e-08,0.0015827525213844185,2.0764457767005227
14,size_1000_seed_15_config_piecewise_linear_num_seg_2_lookback_10,15,2,0.013272925280034542,0.015525584109127522,0.0013686001766473055,0.002862734254449606,0.0006815135711804032,0.00017487736543021383,0.0009970736762908883,2.1399344582890465
15,size_1000_seed_16_config_piecewise_linear_num_seg_2_lookback_10,16,2,0.06263208389282227,0.054514236748218536,0.34088996052742004,0.0034936126321554184,0.001793264178559184,2.2590005178263484e-09,0.0012440963499442004,1.6105626483879456
16,size_1000_seed_17_config_piecewise_linear_num_seg_2_lookback_10,17,2,0.00501584867015481,0.0003617911715991795,0.008438178338110447,0.00032984520657919347,0.0002280112385051325,1.1970599500532586e-09,0.0008840691465628081,1.726114113717961
17,size_1000_seed_18_config_piecewise_linear_num_seg_2_lookback_10,18,2,0.015209394507110119,0.020846275612711906,0.023053035140037537,0.0048793102614581585,0.0011188727803528309,1.044273376465843e-05,0.001854252645746659,2.105009953053671
18,size_1000_seed_19_config_piecewise_linear_num_seg_2_lookback_10,19,2,0.005672765430063009,0.0023296165745705366,0.011216121725738049,0.0021405303850769997,0.0008939135004766285,1.8080075585569233e-08,0.0008491713301607895,2.073260741418405
19,size_1000_seed_20_config_piecewise_linear_num_seg_2_lookback_10,20,2,0.07911841571331024,0.07308171689510345,0.21798494458198547,0.02934993803501129,0.004989041946828365,9.984048083426304e-06,0.004946738417385888,2.00961996962037
20,size_1000_seed_21_config_piecewise_linear_num_seg_3_lookback_10,21,3,0.001954391598701477,0.0013334006071090698,0.001822951016947627,0.002960281679406762,0.0006572637939825654,2.9702981296786392e-09,0.0011100643615982837,1.8754718688547898
21,size_1000_seed_22_config_piecewise_linear_num_seg_3_lookback_10,22,3,0.005421276204288006,0.008849221281707287,0.002026238711550832,0.00010315627150703222,0.0002678331802599132,1.1722246823220317e-09,0.0008512220828280604,1.8337223081921978
22,size_1000_seed_23_config_piecewise_linear_num_seg_3_lookback_10,23,3,0.0027509834617376328,0.023231737315654755,0.016619520261883736,0.004992146510630846,0.0005690415273420513,4.0729840594666555e-09,0.0014522292132864783,1.8406898350263408
