,type,seed,difficulty,lstm,custom_lstm,small_lstm,very_small_lstm,last_value_loss,entropy
279,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,280,28,0.03158240020275116,0.013676805421710014,0.009641475044190884,0.029483573511242867,0.006906249560415745,2.126577858237002
280,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,281,29,0.015238085761666298,0.008006366901099682,0.010219347663223743,0.008468728512525558,0.005475841928273439,2.3492440123292675
281,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,282,29,0.00016242385026998818,1.1594295756367501e-05,0.00043398141860961914,0.0010735690593719482,0.0,1.8330483281715584
282,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,283,29,0.0045620412565767765,0.0032850904390215874,0.005448230542242527,0.004011058714240789,0.0024617689196020365,2.350363493720962
283,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,284,29,0.02755138836801052,0.016335634514689445,0.015759490430355072,0.016589757055044174,0.01371423713862896,2.211339313217834
284,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,285,29,0.020465005189180374,0.010591648519039154,0.02385810576379299,0.02431878261268139,0.00657345075160265,1.8858699587085297
285,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,286,29,0.02281286008656025,0.007844951003789902,0.008106929250061512,0.014300760813057423,0.005311876069754362,2.51726877037738
286,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,287,29,0.043906260281801224,0.022094933316111565,0.032082002609968185,0.0521082729101181,0.017150631174445152,1.9296702506742966
287,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,288,29,0.030164899304509163,0.01615728810429573,0.01337658241391182,0.027414517477154732,0.009387370198965073,2.0317897503969418
288,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,289,29,0.008265158161520958,0.010465716943144798,0.012425916269421577,0.01995394192636013,0.010200913064181805,2.206219428364546
