,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
62,size_1000_seed_63_config_multi_sinusoidal_num_sin_7_lookback_10,63,7,0.05502556636929512,0.032773468643426895,0.019712047651410103,0.02003367990255356,0.00598859554156661,0.003673353274663292,0.0014862558468817532,3.232114550008496
63,size_1000_seed_64_config_multi_sinusoidal_num_sin_7_lookback_10,64,7,0.04110473766922951,0.07006889581680298,0.021718669682741165,0.02364332228899002,0.004992798436433077,0.002465898036956774,0.0011934149956541696,2.7380958210021675
64,size_1000_seed_65_config_multi_sinusoidal_num_sin_7_lookback_10,65,7,0.0200611874461174,0.05881085991859436,0.02137169800698757,0.0032460892107337713,0.014093470759689808,0.02622297914822897,0.0027631984822770106,4.253272864712149
65,size_1000_seed_66_config_multi_sinusoidal_num_sin_7_lookback_10,66,7,0.03786256164312363,0.023492373526096344,0.017431529238820076,0.0037004994228482246,0.0077763888984918594,0.00429079356168707,0.0018687381154359143,3.103887942202481
66,size_1000_seed_67_config_multi_sinusoidal_num_sin_7_lookback_10,67,7,0.010396077297627926,0.025029873475432396,0.01059834286570549,0.0031392488162964582,0.012584039941430092,0.015416259229183193,0.0022513036272970633,4.018980452603957
67,size_1000_seed_68_config_multi_sinusoidal_num_sin_7_lookback_10,68,7,0.050141457468271255,0.048562634736299515,0.03473171219229698,0.02668491192162037,0.010553548112511635,0.003000084957728772,0.0022582026580374747,3.0251154051751263
68,size_1000_seed_69_config_multi_sinusoidal_num_sin_7_lookback_10,69,7,0.015162909403443336,0.01618112251162529,0.006157962139695883,0.0030552158132195473,0.03302210941910744,0.10069386645158131,0.0049066954640877925,6.598653130337606
69,size_1000_seed_70_config_multi_sinusoidal_num_sin_7_lookback_10,70,7,0.007462783250957727,0.01863822713494301,0.02271956019103527,0.002440818352624774,0.008971089497208595,0.003358831246693926,0.0011630619364531756,3.3724717226488985
70,size_1000_seed_71_config_multi_sinusoidal_num_sin_8_lookback_10,71,8,0.025409448891878128,0.01654275506734848,0.016927028074860573,0.0007675857632420957,0.006612786091864109,0.002376436988512669,0.00042516064150070006,2.9129826800959635
71,size_1000_seed_72_config_multi_sinusoidal_num_sin_8_lookback_10,72,8,0.014678138308227062,0.016933439299464226,0.005663745570927858,0.0021205407101660967,0.013152459636330605,0.02003467723727226,0.0029287528674576376,4.309375629482749
72,size_1000_seed_73_config_multi_sinusoidal_num_sin_8_lookback_10,73,8,0.03337104618549347,0.044320378452539444,0.03205513581633568,0.014672955498099327,0.005205778870731592,0.0016840334335962903,0.0018051874072126327,2.6446964204805194
