,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
10,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,11,2,0.011795074678957462,0.0009557813173159957,0.00232701119966805,0.01786286197602749,0.011639578267931938,0.005467195995151997,0.0024442332796752453,1.5138387425395194e-05,0.006041359156370163,0.034930385649204254,0.13136900961399078,0.011429962702095509,0.0011454755440354347,2.1104558312095603
11,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,12,2,0.00852502416819334,0.0477605015039444,0.0006176448077894747,0.008720016106963158,0.050904642790555954,0.0019427507650107145,0.022186169400811195,0.0021723199170082808,0.0016798448050394654,0.021456418558955193,0.11078181862831116,0.0005650806706398726,0.0011252701515331864,2.175050925352418
12,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,13,2,0.028844688087701797,0.0068361712619662285,0.0010860824258998036,0.006594180595129728,0.0006105160573497415,0.004626357927918434,0.008758176118135452,0.00045966863399371505,0.0033001399133354425,0.031633682548999786,0.0920281857252121,0.025447605177760124,0.0008797406917437911,2.1814516966220348
13,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,14,2,0.07533789426088333,0.002885229652747512,0.0027019851841032505,0.0015184700023382902,0.0016755295218899846,0.0009648901177570224,0.006631425116211176,2.8790234864572994e-05,0.0035105652641505003,0.03936995193362236,0.12239561975002289,0.025406865403056145,0.0011668610386550426,2.0764457767005227
14,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,15,2,0.01133263111114502,0.01273936778306961,0.005055425688624382,0.0011187673080712557,0.0012641721405088902,0.001868594903498888,0.01819886639714241,0.0007007229141891003,0.0014347273390740156,0.02017599530518055,0.06211156025528908,0.004164692014455795,0.0006815135711804032,2.1399344582890465
15,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,16,2,0.15967832505702972,0.2138541340827942,0.06045212224125862,0.020403487607836723,0.03621738776564598,0.008555992506444454,0.011379471980035305,9.416254033567384e-05,0.017326058819890022,0.06357333064079285,0.26837655901908875,0.29971781373023987,0.001793264178559184,1.6105626483879456
16,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,17,2,0.007337064947932959,0.00028610930894501507,0.006189077626913786,0.0047901044599711895,0.00010043129441328347,0.0004158050287514925,0.00862639769911766,0.0006215125322341919,0.001145179383456707,0.0034846351481974125,0.01600215956568718,0.004058588296175003,0.0002280112385051325,1.726114113717961
17,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,18,2,0.008054044097661972,0.0023261422757059336,0.005635045934468508,0.008295935578644276,0.001537380856461823,0.0042122467420995235,0.009756878949701786,0.0024246603716164827,0.00876403134316206,0.015234091319143772,0.028536904603242874,0.009844154119491577,0.0011188727803528309,2.105009953053671
18,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,19,2,0.0005968755576759577,0.05255561321973801,3.804326115641743e-05,0.003176963422447443,0.08044270426034927,0.004368266556411982,0.03634361922740936,0.0011399602517485619,0.003356630215421319,0.007956297136843204,0.09009156376123428,0.012423377484083176,0.0008939135004766285,2.073260741418405
19,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,20,2,0.09838686138391495,0.2281484752893448,0.03447393327951431,0.12049978226423264,0.24027054011821747,0.004140406381338835,0.19120313227176666,0.0032093003392219543,0.021152256056666374,0.23961837589740753,0.3202439248561859,0.18179203569889069,0.004989041946828365,2.00961996962037
