,name,repeats,lstm_xs,open_lstm_m,dnn_xs,dnn_m,cnn_xs,cnn_m,last_value,regression,arima,knn,sample_entropy,mad,num_edges,compression,perm_entropy
27,cubic_with_noise,1,0.0266080554574728,0.01658342406153679,0.027743341401219368,0.01606585644185543,0.057809978723526,0.018653923645615578,0.01951369270682335,0.018598584959904355,0.02388254215868014,0.019305852495841776,0.25005365301647053,0.019038410050946097,0.6636636636636637,1.765625,1.5835345054920364
28,exponential,0,0.4841875433921814,0.014089000411331654,0.257938027381897,0.018704695627093315,0.02157655730843544,0.1492052972316742,0.006303162779659033,0.0006651061773300165,0.002697940462644768,0.006005625434210231,0.06740404634694645,0.001000996432109445,0.0,1.421875,0.0
29,exponential,1,0.0745997354388237,0.01714370958507061,0.24786807596683502,0.06184740364551544,0.030924156308174133,0.36279335618019104,0.006303162779659033,0.0006651061773300165,0.002697940462644768,0.006005625434210231,0.06740404634694645,0.001000996432109445,0.0,1.421875,0.0
30,rev_exponential,0,0.008608097210526466,0.0013081622309982777,0.016940077766776085,0.012969803996384144,0.01219931524246931,0.01126329880207777,0.0001776378630893305,5.9366081841289905e-06,0.00015737422835348377,2.1889995237492766e-10,0.15824451120242358,0.000969871434073651,0.0,1.546875,0.0
31,rev_exponential,1,0.010426896624267101,0.0005674822605215013,0.010283405892550945,0.005829715635627508,0.0035890969447791576,0.03053184226155281,0.0001776378630893305,5.9366081841289905e-06,0.00015737422835348377,2.1889995237492766e-10,0.15824451120242358,0.000969871434073651,0.0,1.546875,0.0
32,exponential_with_noise,0,0.050245217978954315,0.02471420355141163,0.011890695430338383,0.00849439762532711,0.031489353626966476,0.051443565636873245,0.008720960468053818,0.008172763307889307,0.011898092018788477,0.009227453889861053,0.18779690725545645,0.00845159411544889,0.6596596596596597,1.546875,1.5695674448975534
33,exponential_with_noise,1,0.03719137981534004,0.02850194461643696,0.018092313781380653,0.00832956563681364,0.008356933481991291,0.019416892901062965,0.008720960468053818,0.008172763307889307,0.011898092018788477,0.009227453889861053,0.18779690725545645,0.00845159411544889,0.6596596596596597,1.546875,1.5695674448975534
34,rev_exponential_with_noise,0,0.013913647271692753,0.014329124242067337,0.016123605892062187,0.015124380588531494,0.01623200811445713,0.023560386151075363,0.016869543120265007,0.01635666471083338,0.013729849117488846,0.014014830985958699,0.24091100672455576,0.01679407328157688,0.6596596596596597,1.546875,1.5795274414386946
35,rev_exponential_with_noise,1,0.014483800157904625,0.018775170668959618,0.014974510297179222,0.014577946625649929,0.01585235446691513,0.015125848352909088,0.016869543120265007,0.01635666471083338,0.013729849117488846,0.014014830985958699,0.24091100672455576,0.01679407328157688,0.6596596596596597,1.546875,1.5795274414386946
36,logistic,0,0.021291976794600487,0.0012201607460156083,0.002109118038788438,0.0003945845237467438,0.01202361099421978,7.857262971810997e-05,0.00010477542673470452,1.1671821276353355e-05,0.0001049281020623638,1.9681527786530316e-07,0.14614955307061153,0.0010002925334679697,0.0,1.546875,0.0
